type,scenario_name,name,category,maxSpeed,maxAcceleration,maxDeceleration,color,initial_position,cloudState,sun_intensity,sun_azimuth,sun_elevation,fog_visual_range,precipitation_type,precipitation_intensity,source,location,cloud_state,fog,precipitation,s,lane_id
file_header,,,,,,,,,,,,,,,,CARLA,,,,,,
,Slalom,vehicle.nissan.micra,car,69.444,200,10.0,,,free,0.35,0,1.31,100000.0,rain,0.2,CARLA,,,,,,
file_header,,,,,,,,,,,,,,,,CARLA,,,,,,
,VehicleLateralDistance,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,"0,0,255",,,,,,,,,CARLA,,,,,,
,VehicleLateralDistance,vehicle.tesla.model3,car,69.444,200,10.0,"255,0,0",,free,0.85,0,1.31,100000.0,dry,0.0,CARLA,,,,,,
file_header,,,,,,,,,,,,,,,,CARLA,,,,,,
,PedestrianCrossingFront,vehicle.volkswagen.t2,car,69.444,200,10.0,,,,,,,,,,CARLA,,,,,,
,,walker.pedestrian.0001,,,,,,,free,0.35,0,1.31,100000.0,rain,0.2,CARLA,,,,,,
file_header,,,,,,,,,,,,,,,,CARLA,,,,,,
,LaneChangeSimple,vehicle.tesla.model3,car,69.444,200,10.0,,,,,,,,,,CARLA,,,,,,
,LaneChangeSimple,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,,,,,,,,,,CARLA,,,,,,
,LaneChangeSimple,vehicle.volkswagen.t2,car,69.444,200,10.0,,,free,0.85,0,1.31,100000.0,dry,0.0,CARLA,,,,,,
file_header,,,,,,,,,,,,,,,,CARLA,,,,,,
,ChangingWeather,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,"0,0,255",,free,0.05,0,1.31,100000.0,rain,0.9,CARLA,,,,,,
file_header,,,,,,,,,,,,,,,,CARLA,,,,,,
,FollowLeadingVehicle,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,"0,0,255",,,,,,,,,CARLA,,,,,,
,FollowLeadingVehicle,vehicle.tesla.model3,car,69.444,200,10.0,"255,0,0",,free,0.85,0,1.31,100000.0,dry,0.0,CARLA,,,,,,
vehicle,FollowLeadingVehicle,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,"0,0,255",,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
vehicle,FollowLeadingVehicle,vehicle.tesla.model3,car,69.444,200,10.0,"255,0,0",,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
weather,FollowLeadingVehicle,,,,,,,,,0.85,,,,,,BeamNG,,free,100000.0,0.0,,
vehicle,ChangingWeather,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,"0,0,255",,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
weather,ChangingWeather,,,,,,,,,0.85,,,,,,BeamNG,,free,100000.0,0.0,,
waypoint,ChangingWeather,,,,,,,,,,,,,,,BeamNG,,,,,48.58,-1
vehicle,LaneChangeSimple,vehicle.tesla.model3,car,69.444,200,10.0,,,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
vehicle,LaneChangeSimple,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,,,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
vehicle,LaneChangeSimple,vehicle.volkswagen.t2,car,69.444,200,10.0,,,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
weather,LaneChangeSimple,,,,,,,,,0.85,,,,,,BeamNG,,free,100000.0,0.0,,
vehicle,VehicleLateralDistance,vehicle.lincoln.mkz_2017,car,69.444,200,10.0,"0,0,255",,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
vehicle,VehicleLateralDistance,vehicle.tesla.model3,car,69.444,200,10.0,"255,0,0",,free,0.85,0,1.31,100000.0,dry,0.0,BeamNG,,,,,,
weather,VehicleLateralDistance,,,,,,,,,0.85,,,,,,BeamNG,,free,100000.0,0.0,,
vehicle,Slalom,vehicle.nissan.micra,car,69.444,200,10.0,,,free,0.35,0,1.31,100000.0,rain,0.2,BeamNG,,,,,,
weather,Slalom,,,,,,,,,0.35,,,,,,BeamNG,,free,100000.0,0.2,,
vehicle,PedestrianCrossingFront,vehicle.volkswagen.t2,car,69.444,200,10.0,,,free,0.35,0,1.31,100000.0,rain,0.2,BeamNG,,,,,,
weather,PedestrianCrossingFront,,,,,,,,,0.35,,,,,,BeamNG,,free,100000.0,0.2,,
